foot speed stride_length step_width cadence
0 1.464973 1.507859 0.112011 117.073171
0 1.531365 1.631864 0.112636 112.149533
0 1.268325 1.273926 0.079247 120.603015
0 0.987522 1.337266 0.10689 88.235294
0 1.299767 1.285374 0.081572 123.076923
0 0.90232 0.944615 0.112733 115.942029
0 0.854255 0.944115 0.131628 107.462687
1 1.257696 1.388798 0.112351 107.623318
1 1.463506 1.489376 0.107414 118.226601
1 0.741244 0.857312 0.105941 103.896104
1 1.846832 1.588851 0.089323 139.534884
1 0.970427 1.348772 0.100847 87.272727
0 0.856874 1.257072 0.094317 81.300813
0 1.29017 1.051963 0.092328 146.938776
0 1.425886 1.425495 0.140738 120
0 1.443926 1.178394 0.079074 146.938776
1 0.953145 1.233386 0.1001 94.117647
0 1.223052 1.258161 0.07729 115.384615
0 0.89886 0.983105 0.084366 111.627907
0 0.759167 0.833743 0.102454 110.769231
0 1.30237 1.377567 0.073997 114.285714
0 1.26132 1.335882 0.065939 113.207547
1 1.412194 1.204609 0.051822 138.461538
0 1.21899 1.342599 0.063436 109.589041
0 1.10845 1.258257 0.112796 104.347826
1 1.135183 1.194548 0.090937 114.285714
0 1.69746 1.425767 0.105951 144
0 1.215271 1.307201 0.102162 111.627907
0 1.393754 1.323562 0.052249 124.137931
0 1.314299 1.400122 0.077276 112.5
1 1.121871 1.235736 0.097416 108.108108
0 1.214665 1.335877 0.179857 109.090909
0 0.795014 1.131464 0.104671 84.705882
0 0.905147 1.111794 0.038272 97.297297
0 1.305548 1.438063 0.101727 106.19469
0 1.89721 1.440301 0.101773 156.521739
0 0.95481 1.22287 0.132037 94.736842
1 0.977857 1.362849 0.086491 85.106383
0 1.265169 1.40375 0.117057 107.623318
0 0.877411 1.039092 0.064038 103.004292
1 0.877968 1.118558 0.103982 93.75
0 0.938474 1.189632 0.117383 94.117647
0 0.876679 1.101612 0.068613 97.297297
0 1.391348 1.398541 0.058625 121.212121
0 1.223697 1.160263 0.105274 128.571429
0 0.929581 1.171683 0.125123 93.023256
0 0.738845 1.119949 0.102444 80
0 1.003678 1.357269 0.106894 86.642599
0 1.417694 1.617611 0.147935 105.882353
0 1.396265 1.543559 0.109758 107.623318
0 1.467814 1.329746 0.116256 133.333333
1 1.179346 1.263114 0.064443 112.5
1 1.243787 1.394223 0.111405 105.263158
1 1.36117 1.374275 0.094329 120
1 0.936204 1.119055 0.090959 101.694915
1 1.90395 1.816107 0.086555 125
1 1.37295 1.492416 0.112493 112.149533
1 1.105729 1.323744 0.153203 100
0 0.886619 1.136524 0.084318 93.385214
0 1.414439 1.386394 0.074231 124.352332
0 1.424222 1.211677 0.09689 141.176471
0 1.146308 1.295217 0.063217 106.19469
0 1.31074 1.351128 0.070213 115.384615
0 0.836332 1.140422 0.026819 87.804878
0 1.77063 1.558874 0.113234 137.142857
1 1.468063 1.514998 0.109135 117.073171
0 1.099719 1.208462 0.09824 109.090909
1 1.273021 1.354706 0.102181 112.149533
0 0.853693 1.33271 0.087249 75.949367
1 1.910092 1.753771 0.091973 128.342246
1 1.071186 1.199937 0.090505 107.623318
0 1.294707 1.339344 0.131014 115.384615
0 2.095729 1.941453 0.168794 126.984127
0 1.021772 1.134297 0.10899 107.462687
1 0.964317 1.358737 0.09665 84.507042
0 0.389603 1.157241 0.093144 40.747029
0 1.857764 1.771712 0.090979 125
1 1.332231 1.380247 0.122326 114.285714
0 1.312175 1.344862 0.080773 118.032787
